"","data_source","signal","geo_value","time_value","issue","lag","value","stderr","sample_size"
"1","fb-survey","smoothed_cli","ak",2020-05-01,2020-09-03,125,0.4607721,0.1591131,1606
"2","fb-survey","smoothed_cli","al",2020-05-01,2020-09-03,125,0.6994761,0.082618,7540.2437
"3","fb-survey","smoothed_cli","ar",2020-05-01,2020-09-03,125,0.759772,0.1036828,4921.4827
"4","fb-survey","smoothed_cli","az",2020-05-01,2020-09-03,125,0.5669361,0.0618211,11220.9587
"5","fb-survey","smoothed_cli","ca",2020-05-01,2020-09-03,125,0.3649079,0.0228051,51870.1382
"6","fb-survey","smoothed_cli","co",2020-05-01,2020-09-03,125,0.6458274,0.0684792,10105.8941
"7","fb-survey","smoothed_cli","ct",2020-05-01,2020-09-03,125,0.5113433,0.0642658,8786
"8","fb-survey","smoothed_cli","dc",2020-05-01,2020-09-03,125,0.5422315,0.2621748,685
"9","fb-survey","smoothed_cli","de",2020-05-01,2020-09-03,125,0.584906,0.1255815,2645.0146
"10","fb-survey","smoothed_cli","fl",2020-05-01,2020-09-03,125,0.4999686,0.0313345,38074
"11","fb-survey","smoothed_cli","ga",2020-05-01,2020-09-03,125,0.4909006,0.0484354,14569.8023
"12","fb-survey","smoothed_cli","hi",2020-05-01,2020-09-03,125,0.3653971,0.1100413,2048
"13","fb-survey","smoothed_cli","ia",2020-05-01,2020-09-03,125,0.492869,0.0650462,8108.746
"14","fb-survey","smoothed_cli","id",2020-05-01,2020-09-03,125,0.5295294,0.1053748,3907.2626
"15","fb-survey","smoothed_cli","il",2020-05-01,2020-09-03,125,0.497749,0.0372553,26684.0428
"16","fb-survey","smoothed_cli","in",2020-05-01,2020-09-03,125,0.5923859,0.0578865,12061.0057
"17","fb-survey","smoothed_cli","ks",2020-05-01,2020-09-03,125,0.4611066,0.0706782,5663.9156
"18","fb-survey","smoothed_cli","ky",2020-05-01,2020-09-03,125,0.4556587,0.0635637,7279.8723
"19","fb-survey","smoothed_cli","la",2020-05-01,2020-09-03,125,0.5541181,0.0661142,8859.5509
"20","fb-survey","smoothed_cli","ma",2020-05-01,2020-09-03,125,0.4577819,0.0593759,9546.038
